dia	mes	personaje	texto
24	1	24	1809/1/24. Mariano de la Paz Graells naturalista jaio zen. Intsektu espezie berriak deskribatu zituen, besteak beste, isabel-tximeleta zoragarria (Graellsia isabelae).
25	1	25	1235/1/25. Litekeena da Ramón Llul urte hartan jaio izana. “El árbol de la ciencia” izeneko lana idatzi zuen, Espainian naturari buruz idatzitako lehen tratatu zientifikoa.
26	1	26	1941/1/26. Joan Elaine Argetsinger Steitz biokimikaria jaio zen. Nazioartean ospe handia lortu zuen RNAri buruzko aurkikuntzei esker.
27	1	27	1876/1/27. Elisha Gray ingeniari elektrikoak "musika-telegrafoaren" patentea eskatu zuen. Lehen musika-tresna elektrikoetako bat izan zen.
28	1	28	2013/1/28. IBM Sequoia superordenagailuak kalkulu-marka bat hautsi zuen, jet esperimental baterako motor bat modelatu zuelako. Horretarako, milioi bat prozesamendu-nukleo baino gehiagoren laguntza izan zuen.
29	1	29	1947/1/29. Linda Brown Buck biologo eta medikua jaio zen. Nobel sari bat irabazi zuen usaimenaren errezeptoreak eta usaimen-sistemaren antolamendua aurkitu zituelako.
30	1	30	1975/1/30. Ernő Rubik eskultoreak "kubo magikoaren" patentea eskatu zuen. Gaur egun, Rubiken kuboa esaten zaio asmakizun horri.
31	1	31	1925/1/31. Manuel Jalón jaio zen. Patente ugari egin zituen, zenbait tresna oso ezagun barne, hala nola lanbasa edo fregona, edo erabili eta botatzeko xiringa hipodermikoa.
1	2	32	1949/2/1. Hale teleskopioa martxan jarri zen, munduko handiena garai hartan, 200 hazbete baitzeuzkan.
2	2	33	1939/2/2. Mary-Dell Chilton bioteknologoa jaio zen. Landareetarako bioteknologia modernoaren fundatzaileetako bat izan zen.
3	2	34	1900/2/3. Juana Álvarez-Prida y Vega jaio zen. Espainiako lehen kimikarietako bat izan zen 1990ean, Zientziaren Emakume Aurrerazalearen lehen Saria jaso zuen.
4	2	35	1896/2/4. Thaddeus Cahillek telarmonioaren patentea eskatu zuen, guztiz elektronikoa eta polifonikoa zen lehen musika-tresnaren patentea, hain zuzen. Lehen prototipoak 200 tonako pisua zuen, eta 18 metroko luzera.
5	2	36	1949/2/5. Nieves López Martínez paleontologoa jaio zen. Nazioartean ospea lortu zuen, logomorfoen eboluzioan (untxiak, erbiak eta pikak) eta Kretazeo-Tertziarioko desagertze masiboarekin lotutako gertaera biotiko eta ingurumenekoen alorrean aditua baitzen.
6	2	37	2014/2/6. NASAk, Rover Curiosityk hartutako lehen irudia argitaratu zuen: Lurraren eta Ilargiaren irudia, Marteko zeruan.
7	2	38	1824/2/7. William Huggins jaio zen. Astronomia irauli zuen, izarren konposizio kimikoa zehazteko metodoak erabili zituelako.
8	2	39	1825/2/8. Henry Bates jaio zen. Zera aurkitu zuen, harrapariengandik babesteko, kaltegarriak ez diren tximeleta batzuek beste espezie toxiko batzuen itxura handia hartzen dutela (Batesen mimetismoa).
9	2	40	1859/2/9. Robert Hope-Jones organogilea jaio zen. Film mutuetan laguntzeko teatro-organo bat garatu zuen. Haren mekanismoan oinarrituta, diafonoa patentatu zuen, hau da, itsasargien ondoan kokaturik, itsasontziak lanbro artean gida ditzakeen sirena ozena.
10	2	41	1996/2/10. Estatu Batuetan, IBM Deep Blue superordenagailuak mendean hartu zuen lehen aldiz Garry Kasparov munduko xake-txapelduna.
11	2	42	1939/2/11. Lise Meitnerrek uranioaren fisio nuklearrari buruzko lehen aurkikuntza argitaratu zuen, uranioak neutroi osagarri bat xurgatzean zer gertatzen den aditzera emanez.
12	2	43	1809/2/12. Charles Darwin jaio zen, hautespen natural bidezko eboluzioaren teoria egin zuen naturalista ospetsua.
13	2	44	1946/2/13. Pilar Bayer matematikaria jaio zen. 1986an, Bartzelonako Zenbakiei buruzko Teoria Mintegia sortu zuen, eta hartan jardun zuen ikertzaile.
14	2	45	2005/2/14. CSICen ikertzaile talde batek, El Sidrón aztarnategiko gizabanako neandertal baten DNA lortu eta sekuentziatu zuen.
15	2	46	2001/2/15. Nature aldizkarian (eta hurrengo egunean, Science aldizkarian), giza genomaren sekuentziazioa eta hasierako analisia argitaratu zen.
16	2	47	2005/2/16. Kiotoko Protokoloa indarrean hasi zen, hau da, berotegi-efektuko gasen emisioak murrizteko mundu-hitzarmena.
17	2	48	1874/2/17. Ida Helen Ogilvie geologoa jaio zen. Labaren propietateak aurkitu zituen, baita aridotasunak lurzoruen higaduren gainean eragiten dituen efektuak ere.
18	2	49	1913/2/18. Frederick Soddy kimikari eta Nobel Sariak "isotopoa" terminoa erantsi zuen zientzia-hizkuntzan.
19	2	50	1878/2/19. Thomas A. Edisonek fonografoa patentatu zuen.
20	2	51	2016/2/20. IGMEko ikertzaileek lehen marisorgin fosila aurkitu zuten, munduan ezagutzen den zaharrenetako bat. San Justeko anbar-aztarnategian aurkitu zuten, Teruelgo Utrillas herrian. Aztarnategia Kretazeokoa da, eta 105 milioi urtetik gorako adina dauka.
21	2	52	1947/2/21. Edwin Herbert Land asmatzaileak, lehen aldiz, argazkien bat-bateko kamera bat aurkeztu zuen jendaurrean: Polaroid Land Camera.
22	2	53	1876/2/22. Johns Hopkins Unibertsitatea sortu zen. Estatu Batuetan ikerketa medikoan espezifikoki jardun zuen lehen unibertsitatea izan zen. Johns Hopkins enpresaburuaren herentziari esker sortu zen fundazioa.
23	2	54	1879/2/23. Agnes Arber jaio zen, landare monokotiledoneoen azterketan espezializatutako botanikaria.
24	2	55	1938/2/24. DuPont enpresa salmentarako nylonezko lehen produktua fabrikatzen hasi zen: hortzetako eskuila bat. Ordura arte, txerrien lepoko ileaz egiten ziren nagusiki.
25	2	56	1869/2/25. Phoebus Levene kimikaria jaio zen. Desoxirribosa aurkitu zuen, DNAren osagai nagusietako bat.
26	2	57	1958/2/26. Susan Helms jaio zen, espazioan barreneko paseorik luzeenaren marka hautsi zuen emakume astronauta: ia 9 ordu.
27	2	58	1869/2/27. Alice Hamilton patologoa jaio zen. Industria-gaixotasunei buruzko ikerketak egin zituen, eta lan-baldintza seguruagoak lortzen lagundu zuen.
28	2	59	1953/2/28. Francis Crickek eta James Watsonek DNAren egituraren aurkikuntza argitaratu zuten. Biek Nobel Saria jaso zuten, 1962. urtean. Rosalind Franklin, haien laguntzailea zena, 1958an hil zen inolako errekonozimendurik jaso gabe.
1	3	60	1893/3/1. Meteorologiako Institutu Nazionalak Espainiako lehen "eguraldi-mapa" egin zuen.
2	3	61	1922/3/2. Frances Bilas Spence programatzailea jaio zen. ENIAC xede orokorreko lehen ordenagailu digitalaren jatorrizko sei programatzaileetako bat izan zen.
3	3	62	1886/3/3. Helen Parkhurst hezitzaile eta pedagogoa jaio zen. Dalton Plana sortu zuen. Plan horren arabera, irakasgairik ez dago, eta ikerketa-gidak erabiltzen dira testu-liburuen ordez. Ikasgela laborategi bihurturik, ikasleek ikaskuntza osatzen dute, irakasleekin konpromiso bat hartuz «kontratu» baten bitartez.
4	3	63	1877/3/4. Robert Fritz Graebner etnologoa jaio zen. Kulturkreis edo Kultura-zirkuluaren teoria garatu zuen. Teoria horren arabera, kultura primitiboak eredu arkaiko bakar baten ondorio dira, eta hortik abiatuta zabaldu dira.
5	3	64	2013/3/5. Human Connectome Proiektuak, giza garunen oso irudi zehatzak argitaratu zituen. Irudi horiei esker, garun-egituren konplexutasuna aztertzeko eta neurona-nahasmenduen arrazoiak identifikatzeko aukera izan zen.
6	3	65	1937/3/6. Valentina Tereshkova ingeniari eta kosmonauta jaio zen. Vostok 6 ontzian, kanpo-espaziora bidaiatu zuen lehen emakumea izan zen.
7	3	66	2009/3/7. Kepler lehen behatoki espaziala jaurti zuten. Beste izar batzuen inguruan Lurraren antzeko planetak aurkitzeko eginkizuna zuen.
8	3	67	1839/3/8. Josephine Cochrane jaio zen. Lehen ontzi-garbigailu arrakastatsua asmatu zuen.
9	3	68	1961/3/9. Sputnik 9k Chernushka txakur emea espaziora eraman zuen. Akuri bat eta sagu bat ere eraman zuten, baita Ivan Ivanovich izeneko proba-maniki bat ere. Lurrera bueltan, manikia jaurtigailu batez atera zen, eta jausgailu baten laguntzarekin lehorreratu. Gainerakoak onik iritsi ziren, kapsularen barruan.
10	3	69	1876/3/10. Alexander Graham Bellek historiako lehen telefono-dei arrakastatsua egin zuen.
11	3	70	1926/3/11. Thomas Earl Starzl mediku eta ikertzailea jaio zen. 1967an, lehen gibel-transplante arrakastatsua burutu zuen, zenbait aldiz alferrik saiatu ondoren.
12	3	71	2015/3/12. Alzheimerren gaixotasunaren tratamendu berri bati esker, amiloide-plakak kasuen % 75ean desagerraraztea lortu zuten (saguengan).
13	3	72	1988/3/13. Seikan tunela inauguratu zen, Japoniako Aomori eta Hakodate hirien artean. Munduko urpeko tunelik luzeena da.
14	3	73	1963/3/14. Pedro Duque astronauta, politikari eta ingeniari aeronautikoa jaio zen. Batez ere, nazionalitate espainiarreko lehen astronauta izan zelako da ezaguna.
15	3	74	1985/3/15. Interneten lehen "punto com" domeinua erregistratu zen: Symbolics.com
16	3	75	1799/3/16. Anna Atkins botanikaria jaio zen. Lehen emakume argazkilaria izan zen.
17	3	76	1963/3/17. María Elisa Álvarez Obaya-ren analisiei esker, "metilikoaren kasua" azaleratu zen. Lanzaroteko bere farmazia xumetik, María Elisak frogatu zuen zenbait heriotza bitxi metanolarekin aizundutako likoreak kontsumitzearen ondorio zirela.
18	3	77	1987/3/18. Tenperatura altuko superkonektagarritasunaren aurkikuntza iragarri zen. New Yorkeko biltzar zientifiko batean izan zen.
19	3	78	2019/3/19. CSICen parte-hartzea izan zuen nazioarteko azterlan batek frogatu zuenez, ozeanoek xurgatzen dute giza jarduerak sortutako CO2aren % 31.
20	3	79	2021/3/20. Txolarrearen Mundu Eguna. Ekimen horren bitartez, txolarreen egoeraz ohartarazi nahi da. Txolarreen populazioa gainbehera nabarian baitago, hirietan bereziki.
21	3	80	1866/3/21. Antonia Maury astronomoa jaio zen. Harvard College Observatory-n lan egin zuen, eta izar-espektroen katalogo garrantzitsu bat argitaratu zuen.
22	3	81	1920/3/22. Katsuko Saruhashi geokimikaria jaio zen. CO2 karbono dioxidoko mailen lehen neurketak egin zituen itsasoko uretan. Agerian jarri zituen euri erradiaktiboak itsasoarentzat eta atmosferarentzat dakartzan arriskuak.
23	3	82	2005/3/23. José Luis Carrascosak eta Bioteknologia Zentro Nazionaleko bere taldeak baztangaren birusaren egitura deskribatu zuten, lehen aldiz.
24	3	83	1882/3/24. Robert Kochek, tuberkulosia dakarren bakterioaren aurkikuntza iragarri zuen. Mycobacterium tuberculosis zen (Kochen baziloa).
25	3	84	1914/3/25. Norman Borlaug agronomoa jaio zen. "Iraultza berdearen aita" izendatu zuten, eta Bakearen Nobel Saria jaso zuen Mexikoko, Pakistango eta Indiako nekazaritza-produkzioan hazi hibridoak sartzeko egin zituen ahaleginengatik. Horri esker, nekazaritza-produktibitateak gora egin zuen, eta milioika giza bizitza salbatu ziren.
26	3	85	1953/3/26. Jonas Salk ikertzaileak, poliomielitisaren aurkako txertoaren aurkikuntza iragarri zuen. Txertaketari esker, haur-paralisia esaten zaion gaixotasun infekzioso hori desagerrarazi da, Europan, Amerikan, Ozeanian eta Afrikan.
27	3	86	1827/3/27. Charles Darwinek, 18 urte zituela, bere lehen aurkikuntza zientifikoa aurkeztu zuen. Itsas animalia txikien biologiari buruzkoa zen.
28	3	87	2013/3/28. Stanfordeko Unibertsitateak, DNAko eta RNAko molekuletatik abiatuta egindako transistore biologiko baten garapena aurkeztu zuen jendaurrean.
29	3	88	1942/3/29. Ann A. Kiessling biologoa jaio zen. Mehran Goulianekin batera, alderantzizko transcriptasak giza zeluletan ziharduela aurkitu zuen. Ordura arte, entzima hori erretrobirusetan baino ez zegoela uste zen.
30	3	89	1900/3/30. María Moliner bibliotekari, filologo eta lexikografo espainiarra jaio zen. Espainieraren erabilera-hiztegia egin zuen.
31	3	90	1596/3/31. René Descartes filosofo eta matematikari frantziar ospetsua jaio zen. "Pentsatzen dut; beraz, banaiz" kontzeptua sortu zuen.
1	4	91	1940/4/1. Wangari Muta Maathai biologo eta ekologista jaio zen. 2004an Bakearen Nobel Saria jaso zuen, garapen jasangarriari eta demokraziari egindako ekarpenengatik. Sari hori lortu zuen lehen emakume afrikarra izan zen.
2	4	92	1618/4/2. Francesco Grimaldi fisikaria jaio zen. Argiaren difrakzioa aurkitu zuen.
3	4	93	1934/4/3. Jane Goodall primatologoa jaio zen. Mundu osoan ezaguna da txinpantzeen interakzio sozial eta familiarrei buruz egin dituen azterlanengatik.
4	4	94	1868/4/4. Philippa Garrett Fawcett matematikaria jaio zen. Cambridgeko Unibertsitateko beka bat irabazi zuen, Mathematical Tripos ikastaroan izan zuen egundoko arrakastari esker (1890). Fluidoen dinamikari buruzko ikerketak egin zituen.
5	4	95	1952/4/5. Venki Ramakrishnan kimikaria jaio zen. Nobel Saria irabazi zuen erribosomaren egitura eta funtzioari buruz egin zuen azterlanarengatik.
6	4	96	1846/4/6. Antonio Machado y Álvarez edo "Demófilo" jaio zen, Antonio eta Manuel Machado poeten aita. Flamenkoa zientifikoki aztertu zuten lehen folkloristetako bat izan zen.
7	4	97	1995/4/7. A Coruñan Domus inauguratu zen, gizakia modu global eta monografikoan aztertzen duen lehen museo interaktibo zientifikoa.
8	4	98	1911/4/8. Melvin Calvin kimikaria jaio zen. Kimikaren Nobel Saria irabazi zuen, landareen CO2aren asimilazioari buruzko lanengatik.
9	4	99	1860/4/9. Édouard-Léon Scott de Martinville asmatzaileak, giza ahotsaren lehen grabazio ezaguna egin zuen. Soprano ahots bat "Au clair de la Lune" abestia kantatzen ari zenean egin zuen grabazioa.
10	4	100	2011/4/10. IGMEren, CIATFren, eta Unibertsitate Konplutentsearen eta Lisboako Unibertsitatearen azterlan batean, Tenerifen tsunamien metakinak zeudela aurkitu zuten. Tsunamien ondorioz, 50 metrotik gorako olatuak izan ziren, eta Las Cañadaseko sumendi-eraikina suntsitzea ere eragin zuten, gaur egun Teide dagoen lekuan.
11	4	101	2013/4/11. Loaldian zehar, kontrolpeko denbora-tarteetan soinuak entzutea oroimenerako mesedegarri izan daitekeela aurkitu zuten.
12	4	102	1961/4/12. Yuri Gagarin espaziora bidaiatu zuen lehen gizakia izan zen. Vostok 1 ontzi sobietarrean egin zuen.
13	4	103	2014/4/13. IGMEren Subvent espedizioak muskuilu kimiosintetikoen multzo handiak aurkitu zituen metano-iturburuen inguruan, Cádizeko Golkoan. Lanzaroten urpeko sumendi berriak ere aurkitu zituen.
14	4	104	1977/4/14. Rosemary Huttonek artikulu bat argitaratu zuen, harkaitzen eroankortasun elektrikoa historia geologikoa ikertzeko nola erabil daitekeen aditzera emanez.
15	4	105	1452/4/15. Leonardo da Vinci jaio zen, Errenazimentuko pintore, eskultore, asmatzaile, ingeniari eta arkitekto handia.
16	4	106	1921/4/16. Isaac Carassok, "yoghourt” esaten diogun esne mamitua egiteko patentea eskatu zuen. Enpresari "Danone" izena jarri zion bere seme Danielen txikigarria erabiliz: "Danón".
17	4	107	1887/4/17. Clodomiro Picado jaio zen. Aitzindaria izan zen sugeei eta haien pozoiei buruzko ikerketan. Penizilinaren aurkikuntzaren aitzindarietako bat ere izan zen.
18	4	108	1917/4/18. Mamie Phipps Clark psikologoa jaio zen. Eskolaurreko haurren kontzientzia sozialaren garapena ulertzeko zereginean jardun zuen.
19	4	109	1946/4/19. María Vallet Regí kimikaria jaio zen. Aditua da traumatologiarako, odontologiarako edo ehunen ingeniaritzarako aplikazioak dauzkaten biomaterialen alorrean.
20	4	110	2017/4/20. Bryan Keith Hollandek GIBaren mikroRNA-ei buruzko doktorego-tesia aurkeztu zuen. Ezagunagoa da "Dexter" ezizenarekin eta The Offsprings punk rock bandako abeslaria eta gitarrista delako.
21	4	111	1838/4/21. John Muir kontserbazionista jaio zen. Sequonia eta Yosemite parke nazionalen ezarpena defendatu zuen.
22	4	112	1999/4/22. Logroñoko Zientzien Etxea ireki zuten. Zentro hori zientzia eta teknologiaren zabalkundeaz arduratzen da, erakusketa, konferentzia, ikastaro, proiekzio eta erakustaldi zientifikoen bitartez.
23	4	113	1933/4/23. Annie J. Easley informatikaria jaio zen. NASAko Lewis Research Center zentroan lan egin zuen. Centaur suziriaren softwarea garatu zuen taldeko kidea izan zen.
24	4	114	2013/4/24. IBMk robot bat garatu zuen telepresentzia eta errealitate areagotuko teknologiak uztartuz, urruneko eremuetako ingeniaritza-proiektuetan laguntzeko.
25	4	115	1945/4/25. Jean Marian Purdy enbriologoa jaio zen. In vitro ernalketaren garapenaren arduradunetako bat izan zen.
26	4	116	1927/4/26. Anne McLaren biologoa jaio zen. Aitzindaria izan zen garapenaren biologia aztertzeko lanetan. In vitro ernalketa-teknika garatzen lagundu zuen.
27	4	117	1993/4/27. John Kenny tronbonistak karnyx bat jo zuen, lehen aldiz garai zeltatik. John Purser musikologoak eta John Creed urregileak Deskfordeko karnyxetik egindako berreraikuntza erabili zuen horretarako. Jatorrizko instrumentua eta berreraikuntza Eskoziako Museo Nazionalean daude erakusgai.
28	4	118	1932/4/28. Sukar horiaren aurkako txertoa aurkitu zen.
29	4	119	1894/4/29. Marietta Blau fisikaria jaio zen. Aitzindaria izan zen partikula atomikoak emultsio fotografikoetako plaken bitartez erregistratu eta identifikatzeko lanetan. Haren lana lagungarri izan zen erreakzio nuklearrak hobeto ulertzeko.
30	4	120	2010/4/30. IGMEko ikertzaileek, erregistro historikotik desagertutako hezegune bat aurkitu zuten, XVIII. eta XIX. mendeetako mapetan.
1	5	121	2013/5/1. EMTASY proiektua abiatu zen, bihotza ezkerrean kokatzen duen mekanismoa zehazteko. Ángela Nieto Toledanok zuzendu zuen, eta sortzetiko malformazio asko ulertzeko lagungarri izan zen.
2	5	122	1997/5/2. Atapuercako talde zientifikoak Asturiasko Printzearen saria lortu zuen Ikerketa Zientifiko eta Teknikoaren alorrean, Homo antecessor aurkitzeagatik. Hominido hori Europan bizi izan zen orain 800.000 urte.
3	5	123	1910/5/3. Anne Strachan Robertson arkeologoa jaio zen. Ezaguna da Antoninoren harresiari eta erromatar inperioko monetei buruz egin dituen azterlanengatik.
4	5	124	1825/5/4. Thomas Huxley biologoa jaio zen. Hegaztiak dinosauroengandik abiatuta bilakatu zirela iradoki zuen lehena izan zen.
5	5	125	1882/5/5. Pío del Río Ortega mediku eta zientzialari espainiarra jaio zen. Mikroglia aurkitu zuen, nerbio-sistemaren zelula mota bat.
6	5	126	1840/5/6. Lehen postako zigilu itsasgarria salgai jarri zen. Erresuma Batuko Victoria erreginaren soslaia erakusten zuen, eta "penny black" deitzen zioten.
7	5	127	1954/5/7. Michiganen, Mackinac zubiaren eraikuntza hasi zen. Bere garaian, munduko zubi esekirik luzeena izan zen.
8	5	128	1980/5/8. OMEk baztangaren desagerrarazpena ziurtatu zuen. Mugarri hori txertaketari esker lortu zen.
9	5	129	1882/5/9. William H. Fordek estetoskopio baten diseinua patentatu zuen, gaur egun ere erabiltzen den formarekin.
10	5	130	1888/5/10. Lucy Wills hematologoa jaio zen. Legamian nutrizio-faktore bat aurkitu zuen, haurdunaldian anemia makrozitikoa prebenitu eta sendatzeko lagungarria. Willsen faktorea edo folatoa esaten zaio, eta azido folikoaren forma naturala da.
11	5	131	2001/5/11. Murtziako Lorca herrian lurrikara bat izan zen, 5,2 Mw-ko magnitudearekin. Inpaktu handia eragin zuen, eta 9 hildako eta kalte material izugarriak izan ziren.
12	5	132	1910/5/12. Dorothy Crowfoot Hodgkin Nobel Saria jaio zen. Penizilinaren edo intsulinaren molekulen 3Dko egitura zehaztu zuen. 3Dko egitura funtsezkoa da funtzioak ulertzeko.
13	5	133	1857/5/13. Ronald Ross bakteriologoa jaio zen. Malaria Anopheles eltxoaren bitartez transmititzen dela aurkitu zuen.
14	5	134	1899/5/14. Charlotte Auerbach biologoa jaio zen. Zoologian eta genetikan espezializatu zen, eta mutagenesiaren eta haren efektuen aurkikuntzan lagundu zuen. 1942an egin zen ospetsu, Alfred Joseph Clarkekin eta J. M. Robsonekin batera, ziape-gasa mutazioen eragile izan zitekeela aditzera eman zuenean.
15	5	135	1925/5/15. Mary Frances Lyon genetista jaio zen. Lionizazioa aurkitu zuen; fenomeno horren bitartez, X kromosomaren bi kopietako bat desaktibatzen da eme ugaztunen zeluletan.
16	5	136	1919/5/16. Ramón Margalef ozeanografo eta ekologoa jaio zen. Informazioaren Teoria Ekologian aplikatu zuen, eta Shannon-Weaverren indizea sortu zuen, dibertsitate-neurri gisa.
17	5	137	1749/5/17. Edward Jenner immunologoa jaio zen. Historiako lehen txertoa lortu zuen, zehazkiago, baztangaren aurkako txertoa.
18	5	138	2012/5/18. Landareekiko Liluramenduaren Nazioarteko lehen Eguna ospatu zen. Landareak gure bizitzan oso garrantzitsuak direla aitortzea zuen helburu, landareak lagungarri baitira pertsona eta animalientzako elikagaiak, papera, zura, energia eta produktu farmazeutikoak sortzeko.
19	5	139	2014/5/19. NASA InSight robot espaziala eraikitzen hasi zen, 2018an Marten lehorreratu zena.
20	5	140	1900/5/20. Erika Cremer kimikari eta fisikaria jaio zen. Gasen kromatografian aitzindaria izan zen. Alabaina, 1944an bere metodoari buruz idatzi zuen artikuluak ez zuen argia ikusi, bonbardaketa batek inprimategi-probak suntsitu zituelako, Naturwissenschaften aldizkariaren egoitzan.
21	5	141	1921/5/21. Andréi Sájarov fisikaria jaio zen. 50eko hamarkadan, bonba atomikoen garapenean parte hartu zuen. Ondoren, arma nuklearrak ugaritzearen aurka borrokatu zen, eta, 1975ean, Bakearen Nobel Saria jaso zuen.
22	5	142	1960/5/22. Txileko Lurrikara Handia izan zen. Inoiz erregistratutako magnitude handieneko lurrikara da (9,5 momentuko magnitudeko potentzian). Itsasikarak Hawairaino, Japoniaraino eta Errusiaraino ere iritsi ziren, eta Puyehue sumendiaren erupzioa ere eragin zuen.
23	5	143	1954/5/23. Keith Campbell biologoa jaio zen. Funtsezko pertsona bat izan zen Edinburgoko Roslin Institutuan Dolly ardia klonatu zuen taldean.
24	5	144	1878/5/24. Lillian Moller Gilbreth psikologo eta ingeniaria jaio zen. Ezaguna da antolamendu psikologikoa industrian aplikatzeko egin zuen lanarengatik.
25	5	145	1880/5/25. Jean Alexandre Barré neurologoa jaio zen. Guillain-Barréren sindromea identifikatu zuen, gaixotasun neurologiko arraro bat.
26	5	146	1872/5/26. Trinidad Arroyo Villaverde jaio zen. Espainiako lehen oftalmologoa izan zen.
27	5	147	1931/5/27. Philip Kotler ekonomialaria jaio zen. Marketin modernoaren aitatzat hartzen da.
28	5	148	1912/5/28. Ruby Violet Payne-Scott astronomoa jaio zen. Lurraren eremu magnetikoaren eragina eta eguzki-erupzioak aztertu zituen.
29	5	149	1826/5/29. Ebenezer Butterick sastrea jaio zen. Ellen Augusta Pollard emaztearekin batera, jostun-patroi modernoak asmatu eta merkaturatu zituen. Patroi horiek graduak zeuzkaten, neurri estandar ugarirekin.
30	5	150	2021/5/30. Esklerosi Anizkoitzaren Mundu Eguna. Urtero egiten da, kontakizunak partekatzeko, gizartea kontzientziatzeko eta gaixotasun hori duten guztiekin eta guztientzat kanpainak egiteko.
31	5	151	1903/5/31. Konstantin Tsiolkovsky fisikariak lehen aldiz proposatu zuen pertsonek espaziora bidaiatzeko aukera izango zutela, suziriak erabiliz.
1	6	152	1974/6/1. Emergency Medicine aldizkariak Heimlich-en maniobra argitaratu zuen. Eragiketa horrek aukera ematen du objektu arrotz batek buxatutako aire-bideak desblokeatzeko.
